RIS-TrapCode,CalDate,Black Rustic,Cloaked Minor,Coast Dart,Common Wainscot,Dark Arches,Dusky Brocade,Dusky Sallow,Flounced Rustic,Gatekeeper,Large Nutmeg,Marbled Minor,Meadow Brown,Middle-barred Minor,Ringlet,Rosy Minor,Rustic Shoulder-knot,Shoulder-striped Wainscot,Slender Brindle,Small Dotted Buff,Smoky Wainscot,Speckled Wood,Straw Dot,Tawny Marbled Minor,Wall
67,1981,80.0,0.0,0.0,80.0,40.0,0.0,0.0,1640.0,0.0,0.0,160.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
67,1982,0.0,0.0,0.0,80.0,280.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
88,1968,0.0,96.0,0.0,1968.0,264.0,120.0,48.0,1344.0,0.0,0.0,168.0,0.0,120.0,0.0,0.0,120.0,192.0,0.0,72.0,216.0,0.0,0.0,0.0,0.0
88,1969,0.0,96.0,0.0,3072.0,72.0,0.0,192.0,624.0,0.0,72.0,144.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,72.0,72.0,0.0,0.0,0.0,0.0
88,1970,0.0,24.0,0.0,2616.0,72.0,0.0,216.0,1032.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0
88,1971,0.0,48.0,0.0,2304.0,216.0,48.0,168.0,1752.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,96.0,24.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0
88,1972,0.0,48.0,0.0,1896.0,840.0,0.0,120.0,2424.0,0.0,192.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
88,1973,0.0,0.0,0.0,2136.0,96.0,0.0,48.0,2616.0,0.0,120.0,24.0,0.0,72.0,0.0,48.0,48.0,48.0,0.0,96.0,264.0,0.0,0.0,24.0,0.0
88,1974,0.0,48.0,0.0,576.0,144.0,0.0,48.0,4152.0,0.0,24.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
88,1975,0.0,144.0,0.0,2928.0,96.0,0.0,264.0,4248.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,24.0,0.0,24.0,168.0,0.0,0.0,0.0,0.0
